0,1,2,3,4,5,6
20.66,-4.37,19.85,0.44,17,9,50
29.0,-2.3,19.85,0.39,17,9,51
29.0,-8.97,19.85,0.34,17,9,52
-10.0,0.35,-19.2,0.34,17,9,53
-10.0,8.69,-19.2,0.48,17,9,55
29.0,-5.14,19.85,0.48,17,9,56
29.0,-8.92,19.85,0.44,17,9,57
-10.0,2.41,-19.2,0.44,17,9,58
-10.0,9.35,-19.2,0.34,17,9,59
29.0,-5.1,19.85,0.44,17,10,0
29.0,-9.59,19.85,0.34,17,10,1
-10.0,2.34,-19.2,0.44,17,10,2
-10.0,10.17,-19.2,0.44,17,10,3
-7.63,5.29,-5.55,0.44,17,10,4
29.0,-9.96,19.85,0.44,17,10,5
-10.0,3.85,-19.2,0.44,17,10,6
-10.0,13.63,-19.2,0.34,17,10,7
29.0,-4.23,19.85,0.44,17,10,8
28.42,-8.41,18.08,0.44,17,10,9
